income_bracket,education,count
Negative Income,Postgraduate Degree Level,1437
Nil Income,Postgraduate Degree Level,17999
"$1-$149 ($1-$7,799)",Postgraduate Degree Level,5617
"$150-$299 ($7,800-$15,599)",Postgraduate Degree Level,8851
"$300-$399 ($15,600-$20,799)",Postgraduate Degree Level,14125
"$400-$499 ($20,800-$25,999)",Postgraduate Degree Level,15217
"$500-$649 ($26,000-$33,799)",Postgraduate Degree Level,24695
"$650-$799 ($33,800-$41,599)",Postgraduate Degree Level,26605
"$800-$999 ($41,600-$51,999)",Postgraduate Degree Level,39359
"$1,000-$1,249 ($52,000-$64,999)",Postgraduate Degree Level,55522
"$1,250-$1,499 ($65,000-$77,999)",Postgraduate Degree Level,51436
"$1,500-$1,749 ($78,000-$90,999)",Postgraduate Degree Level,54780
"$1,750-$1,999 ($91,000-$103,999)",Postgraduate Degree Level,51248
"$2,000-$2,999 ($104,000-$155,999)",Postgraduate Degree Level,137047
"$3,000-$3,499 ($156,000-$181,999)",Postgraduate Degree Level,43884
"$3,500 Or More ($182,000 Or More)",Postgraduate Degree Level,111006
Not Stated,Postgraduate Degree Level,4487
Negative Income,Graduate Diploma and Graduate Certificate Level,337
Nil Income,Graduate Diploma and Graduate Certificate Level,3613
"$1-$149 ($1-$7,799)",Graduate Diploma and Graduate Certificate Level,1792
"$150-$299 ($7,800-$15,599)",Graduate Diploma and Graduate Certificate Level,2828
"$300-$399 ($15,600-$20,799)",Graduate Diploma and Graduate Certificate Level,4917
"$400-$499 ($20,800-$25,999)",Graduate Diploma and Graduate Certificate Level,4903
"$500-$649 ($26,000-$33,799)",Graduate Diploma and Graduate Certificate Level,6496
"$650-$799 ($33,800-$41,599)",Graduate Diploma and Graduate Certificate Level,6788
"$800-$999 ($41,600-$51,999)",Graduate Diploma and Graduate Certificate Level,9061
"$1,000-$1,249 ($52,000-$64,999)",Graduate Diploma and Graduate Certificate Level,12706
"$1,250-$1,499 ($65,000-$77,999)",Graduate Diploma and Graduate Certificate Level,11899
"$1,500-$1,749 ($78,000-$90,999)",Graduate Diploma and Graduate Certificate Level,14719
"$1,750-$1,999 ($91,000-$103,999)",Graduate Diploma and Graduate Certificate Level,15534
"$2,000-$2,999 ($104,000-$155,999)",Graduate Diploma and Graduate Certificate Level,39684
"$3,000-$3,499 ($156,000-$181,999)",Graduate Diploma and Graduate Certificate Level,10253
"$3,500 Or More ($182,000 Or More)",Graduate Diploma and Graduate Certificate Level,21831
Not Stated,Graduate Diploma and Graduate Certificate Level,843
Negative Income,Bachelor Degree Level,3749
Nil Income,Bachelor Degree Level,52096
"$1-$149 ($1-$7,799)",Bachelor Degree Level,17408
"$150-$299 ($7,800-$15,599)",Bachelor Degree Level,31916
"$300-$399 ($15,600-$20,799)",Bachelor Degree Level,52160
"$400-$499 ($20,800-$25,999)",Bachelor Degree Level,48026
"$500-$649 ($26,000-$33,799)",Bachelor Degree Level,64665
"$650-$799 ($33,800-$41,599)",Bachelor Degree Level,71171
"$800-$999 ($41,600-$51,999)",Bachelor Degree Level,101773
"$1,000-$1,249 ($52,000-$64,999)",Bachelor Degree Level,146941
"$1,250-$1,499 ($65,000-$77,999)",Bachelor Degree Level,137853
"$1,500-$1,749 ($78,000-$90,999)",Bachelor Degree Level,140505
"$1,750-$1,999 ($91,000-$103,999)",Bachelor Degree Level,124388
"$2,000-$2,999 ($104,000-$155,999)",Bachelor Degree Level,289358
"$3,000-$3,499 ($156,000-$181,999)",Bachelor Degree Level,83233
"$3,500 Or More ($182,000 Or More)",Bachelor Degree Level,186986
Not Stated,Bachelor Degree Level,13206
Negative Income,Advanced Diploma and Diploma Level,2888
Nil Income,Advanced Diploma and Diploma Level,29392
"$1-$149 ($1-$7,799)",Advanced Diploma and Diploma Level,10585
"$150-$299 ($7,800-$15,599)",Advanced Diploma and Diploma Level,23159
"$300-$399 ($15,600-$20,799)",Advanced Diploma and Diploma Level,41878
"$400-$499 ($20,800-$25,999)",Advanced Diploma and Diploma Level,39313
"$500-$649 ($26,000-$33,799)",Advanced Diploma and Diploma Level,47513
"$650-$799 ($33,800-$41,599)",Advanced Diploma and Diploma Level,51405
"$800-$999 ($41,600-$51,999)",Advanced Diploma and Diploma Level,71853
"$1,000-$1,249 ($52,000-$64,999)",Advanced Diploma and Diploma Level,95658
"$1,250-$1,499 ($65,000-$77,999)",Advanced Diploma and Diploma Level,76817
"$1,500-$1,749 ($78,000-$90,999)",Advanced Diploma and Diploma Level,73634
"$1,750-$1,999 ($91,000-$103,999)",Advanced Diploma and Diploma Level,60481
"$2,000-$2,999 ($104,000-$155,999)",Advanced Diploma and Diploma Level,121356
