year,income_bracket,education,count
2016,Negative Income,Postgraduate Degree Level,1503
2016,Nil Income,Postgraduate Degree Level,16045
2016,"$1-$149 ($1-$7,799)",Postgraduate Degree Level,5306
2016,"$150-$299 ($7,800-$15,599)",Postgraduate Degree Level,10087
2016,"$300-$399 ($15,600-$20,799)",Postgraduate Degree Level,11968
2016,"$400-$499 ($20,800-$25,999)",Postgraduate Degree Level,14072
2016,"$500-$649 ($26,000-$33,799)",Postgraduate Degree Level,19697
2016,"$650-$799 ($33,800-$41,599)",Postgraduate Degree Level,21139
2016,"$800-$999 ($41,600-$51,999)",Postgraduate Degree Level,28701
2016,"$1,000-$1,249 ($52,000-$64,999)",Postgraduate Degree Level,39310
2016,"$1,250-$1,499 ($65,000-$77,999)",Postgraduate Degree Level,35769
2016,"$1,500-$1,749 ($78,000-$90,999)",Postgraduate Degree Level,40677
2016,"$1,750-$1,999 ($91,000-$103,999)",Postgraduate Degree Level,37771
2016,"$2,000-$2,999 ($104,000-$155,999)",Postgraduate Degree Level,88598
2016,"$3,000 Or More ($156,000 Or More)",Postgraduate Degree Level,89150
2016,Not Stated,Postgraduate Degree Level,4210
2016,Negative Income,Graduate Diploma and Graduate Certificate Level,383
2016,Nil Income,Graduate Diploma and Graduate Certificate Level,2998
2016,"$1-$149 ($1-$7,799)",Graduate Diploma and Graduate Certificate Level,1580
2016,"$150-$299 ($7,800-$15,599)",Graduate Diploma and Graduate Certificate Level,3304
2016,"$300-$399 ($15,600-$20,799)",Graduate Diploma and Graduate Certificate Level,3920
2016,"$400-$499 ($20,800-$25,999)",Graduate Diploma and Graduate Certificate Level,4251
2016,"$500-$649 ($26,000-$33,799)",Graduate Diploma and Graduate Certificate Level,5482
2016,"$650-$799 ($33,800-$41,599)",Graduate Diploma and Graduate Certificate Level,5955
2016,"$800-$999 ($41,600-$51,999)",Graduate Diploma and Graduate Certificate Level,7983
2016,"$1,000-$1,249 ($52,000-$64,999)",Graduate Diploma and Graduate Certificate Level,11685
2016,"$1,250-$1,499 ($65,000-$77,999)",Graduate Diploma and Graduate Certificate Level,11983
2016,"$1,500-$1,749 ($78,000-$90,999)",Graduate Diploma and Graduate Certificate Level,14532
2016,"$1,750-$1,999 ($91,000-$103,999)",Graduate Diploma and Graduate Certificate Level,13853
2016,"$2,000-$2,999 ($104,000-$155,999)",Graduate Diploma and Graduate Certificate Level,26834
2016,"$3,000 Or More ($156,000 Or More)",Graduate Diploma and Graduate Certificate Level,18961
2016,Not Stated,Graduate Diploma and Graduate Certificate Level,1097
2016,Negative Income,Bachelor Degree Level,4056
