year,education,harmonised_income_bracket,count,share_pct
2016,Secondary Education - Years 9 and below,Negative Income,5890,0.87
2016,Secondary Education - Years 9 and below,Nil Income,121001,17.93
2016,Secondary Education - Years 9 and below,"$1-$149 ($1-$7,799)",41278,6.12
2016,Secondary Education - Years 9 and below,"$150-$299 ($7,800-$15,599)",75552,11.19
2016,Secondary Education - Years 9 and below,"$300-$399 ($15,600-$20,799)",126952,18.81
2016,Secondary Education - Years 9 and below,"$400-$499 ($20,800-$25,999)",88442,13.1
2016,Secondary Education - Years 9 and below,"$500-$649 ($26,000-$33,799)",49191,7.29
2016,Secondary Education - Years 9 and below,"$650-$799 ($33,800-$41,599)",43724,6.48
2016,Secondary Education - Years 9 and below,"$800-$999 ($41,600-$51,999)",41179,6.1
2016,Secondary Education - Years 9 and below,"$1,000-$1,249 ($52,000-$64,999)",34007,5.04
2016,Secondary Education - Years 9 and below,"$1,250-$1,499 ($65,000-$77,999)",17295,2.56
2016,Secondary Education - Years 9 and below,"$1,500-$1,749 ($78,000-$90,999)",11165,1.65
2016,Secondary Education - Years 9 and below,"$1,750-$1,999 ($91,000-$103,999)",6684,0.99
2016,Secondary Education - Years 9 and below,"$2,000-$2,999 ($104,000-$155,999)",7545,1.12
2016,Secondary Education - Years 9 and below,"$3,000 Or More ($156,000 Or More)",5065,0.75
2016,Secondary Education - Years 10 and above,Negative Income,19576,0.73
2016,Secondary Education - Years 10 and above,Nil Income,364809,13.52
2016,Secondary Education - Years 10 and above,"$1-$149 ($1-$7,799)",177617,6.58
2016,Secondary Education - Years 10 and above,"$150-$299 ($7,800-$15,599)",243414,9.02
2016,Secondary Education - Years 10 and above,"$300-$399 ($15,600-$20,799)",234662,8.69
2016,Secondary Education - Years 10 and above,"$400-$499 ($20,800-$25,999)",219352,8.13
2016,Secondary Education - Years 10 and above,"$500-$649 ($26,000-$33,799)",207717,7.7
2016,Secondary Education - Years 10 and above,"$650-$799 ($33,800-$41,599)",233383,8.65
2016,Secondary Education - Years 10 and above,"$800-$999 ($41,600-$51,999)",267445,9.91
2016,Secondary Education - Years 10 and above,"$1,000-$1,249 ($52,000-$64,999)",246067,9.12
2016,Secondary Education - Years 10 and above,"$1,250-$1,499 ($65,000-$77,999)",149538,5.54
2016,Secondary Education - Years 10 and above,"$1,500-$1,749 ($78,000-$90,999)",111511,4.13
2016,Secondary Education - Years 10 and above,"$1,750-$1,999 ($91,000-$103,999)",71287,2.64
2016,Secondary Education - Years 10 and above,"$2,000-$2,999 ($104,000-$155,999)",99547,3.69
2016,Secondary Education - Years 10 and above,"$3,000 Or More ($156,000 Or More)",53291,1.97
2016,Certificate I & II Level,Negative Income,34,0.56
2016,Certificate I & II Level,Nil Income,433,7.16
