year,education,top_two_brackets_share_pct
2016,Postgraduate Degree Level,38.66
2016,Graduate Diploma and Graduate Certificate Level,34.25
2016,Bachelor Degree Level,28.84
2016,Advanced Diploma and Diploma Level,18.29
2016,Certificate III & IV Level,10.27
2016,Secondary Education - Years 10 and above,5.66
2016,Certificate I & II Level,2.46
2016,Secondary Education - Years 9 and below,1.87
2021,Postgraduate Degree Level,44.31
2021,Graduate Diploma and Graduate Certificate Level,42.88
2021,Bachelor Degree Level,36.05
2021,Advanced Diploma and Diploma Level,23.64
2021,Certificate III & IV Level,15.42
2021,Secondary Education - Years 10 and above,7.48
2021,Certificate I & II Level,3.37
2021,Secondary Education - Years 9 and below,2.47
